institutions,event,short description,code,year,month,date,Relevance,relation,relation2,relation3,relation4,relation5,relation6,relation7,relation8,relation9,home page,link1 - Agenda,link2 - Working Doc,link 3 - Outcomes,link 4,link 5,issue
WSIS process,WSIS+10 Review Event Paris,,a1,2103,Feb,Feb 25 - 27,1 or 0,a2,-a3,-a6,-a7,,,,,,,,WSIS+10 Review Process related events http://www.itu.int/wsis/review/2013.html,,,,
WSIS process,WSIS Forum 2013,,a2,2103,May,May 13 -17,,a1,-a6,,,,,,,,,,,,,,
WSIS process,MPP first meeting ,,a3,2013,Oct,Oct 7-8,,-a1,a4,,,,,,,,,Agenda http://www.itu.int/wsis/review/inc/docs/WSIS10.hle-ocp_phase2_draftagenda.2.pdf,"Proposed Zero Draft Outcome Documents Considered during the First Physical Meeting http://www.itu.int/wsis/review/mpp/pages/phase1-outcomes.html
",Main Outcomes by Chairman https://www.dropbox.com/s/76rxsp4308lgk3q/WSIS10.hle-ocp_phase2_ChairmanReport%20%282%29.docx,,,
WSIS process,MPP second meeting,,a4,2103,Dec,Dec 16 -18,,a3,a5,-c4,,,,,,,,Agenda http://www.itu.int/wsis/review/inc/docs/phase3/WSIS10.hle-ocp_phase3_draftagenda.2.pdf,Proposals for the First Drafts to be considered by the Second Physical Meeting: WSIS+10 Statement on the Implementation on WSIS Outcomes & the WSIS+10 Vision for WSIS Beyond 2015 http://www.itu.int/wsis/review/mpp/pages/consolidated-texts.html,,,,
WSIS process,MPP third meeting,,a5,2014,Feb,Feb 17-19,,a4,a6,,,,,,,,,,,,,,
WSIS process,WSIS+10 High Level Event,,a6,2014,April,Apr 13-18,,a5,a7,-a2,-a1,-c10,,,,,,,,,,,
WSIS process,?,,a7,2014,,,,a6,-a1,-c10,-b15,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: CIS Chisinau,,b1,2103,Feb,Feb 19-20,,-b2,,,,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: ASP Phnom Penh,,b2,2103,Apr,Apr 3-May 2,,-b1,-b3,,,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: AMS Montevideo,,b3,2103,Aug,Aug 20-22,,-b2,-b4,,,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: AFR Accra,,b4,2103,Oct,Oct 2-4,,-b3,-b5,,,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: ARB Manama,,b5,2103,Oct,Oct 29-31,,-b4,-b6,,,,,,,,,,,,,,
ITU process,WTDC Regional Preparatory Meeting: EUR Belgrade,,b6,2103,Nov,Nov 26-28,,-b5,-b7,,,,,,,,,,,,,,
ITU process,TDAG 18th Session,,b7,2103,Dec,Dec 11-13,,-b6,-b13,,,,,,,,,,,,,,
ITU process,WTPF 2013,,b8,2103,May,May 14-16,,-b13,-b9,,,,,,,,,,,,,,
ITU process,CWC-WSIS,,b9,2103,May,May 30-31/Jun20,,-b8,b12,-b10,,,,,,,,,,,,,
ITU process,ITU Council '13,,b10,2103,Jun,Jun11-21,,-b9,b14,,,,,,,,,,,,,,
ITU process,CWG-Internet,,b11,2103,Nov,Nov 11-12,,-b14,,,,,,,,,,,,,,,
ITU process,CWG-WSIS,,b12,2103,Mar,Feb 19-20,,b9,-b14,,,,,,,,,,,,,,
ITU process,WTDC,,b13,2014,May,Mar 30-Apr11,,-b7,-b8,-b14,b15,,,,,,,,,,,,
ITU process,ITU Council 14,,b14,2014,May,May 6-15,,b10,-b11,-b12,-b13,b15,,,,,,,,,,,
ITU process,ITU Plenipotentiary Conference Busan,,b15,2014,Oct,Oct 19-Nov15,,b14,b13,-a7,,,,,,,,,,,,,
ITU process,add regional prep for Plenipot,,,,,,,,,,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),WGEC,,c1,2013,May,May 20-31,,c4,-c2,,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),CSTD 16,,c2,2013,Jun,Jun 3-7,,-c1,c5,-c3,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),"ECOSOC Substantive Session, Geneva",,c3,2013,Jul,Jul 1-25,,-c2,c9,-c6,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),WGEC,,c4,2013,Nov,Nov 5-8,,c1,-a4,c7,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),CSTD intersessional Washington DC,,c5,2013,Dec,Dec 2-4,,c2,c8,,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),68th UN General Assembly First Committee (security) Second Committee (WSIS) Third Committee (human rights),,c6,2013,"Sep,Out, Nov, Dez",tbc,,-c3,c10,a6,d10,,,,,,,"Second Committee 
Agenda item 16 
Information and communications technologies 
for development http://www.un.org/ga/search/view_doc.asp?symbol=A/C.2/68/L.73",,,,,
UN process (GA/ECOSOC/CSTD),WGEC,,c7,2014,Feb,tbc,,c4,-c8,,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),CSTD 17,,c8,2014,May,tbc,,-c7,-c9,c5,,,,,,,,,,,,,
UN process (GA/ECOSOC/CSTD),"ECOSOC Substantive Session, NY",,c9,2014,Jul,tbc,,c3,-c8,-c10,,,,,,,,,,,,,
